Name;LOC;Time;PIPs;Paths;Paths vuln;Paths timeout;XSS;SQLi;EVAL;SPECIFICS
CachetHQ_Cachet.result;51884;00:01:49;0;0;0;0;0;0;0;;
filp_whoops.result;3717;00:00:58;0;0;0;0;0;0;0;;
J7mbo_twitter-api-php.result;411;00:00:28;0;0;0;0;0;0;0;;
reduxframework_redux-framework.result;18227;01:44:04;0;0;0;0;0;0;0;;
rappasoft_laravel-boilerplate.result;9284;00:00:30;0;0;0;0;0;0;0;;
ratchetphp_Ratchet.result;2948;00:00:29;0;0;0;0;0;0;0;;
symfony_console.result;18093;00:01:15;0;0;0;0;0;0;0;;
bcit-ci_CodeIgniter.result;35739;00:23:27;0;0;0;0;0;0;0;;
FriendsOfSymfony_FOSRestBundle.result;8948;00:00:57;0;0;0;0;0;0;0;;
glpi-project_glpi.result;272043;00:33:42;70;78;78;0;70;0;0;  (xss) sprintf:52,  (xss) printf_func:2,  (xss) exit:1,  (xss) echo_func:15,;
Attendize_Attendize.result;20782;00:00:48;0;0;0;0;0;0;0;;
mockery_mockery.result;10435;00:00:43;0;0;0;0;0;0;0;;
amphp_amp.result;8662;00:00:46;0;0;0;0;0;0;0;;
laravel_laravel.result;1126;00:00:35;0;0;0;0;0;0;0;;
hirak_prestissimo.result;42276;00:00:49;0;0;0;0;0;0;0;;
symfony_routing.result;13911;00:01:39;0;0;0;0;0;0;0;;
Zizaco_confide.result;4061;00:00:23;0;0;0;0;0;0;0;;
vyuldashev_laravel-queue-rabbitmq.result;1701;00:00:26;0;0;0;0;0;0;0;;
JosephSilber_bouncer.result;6178;00:00:29;0;0;0;0;0;0;0;;
Elgg_Elgg.result;154620;01:43:45;0;0;0;0;0;0;0;;
php-fig_log.result;312;00:00:18;0;0;0;0;0;0;0;;
wallabag_wallabag.result;24839;00:02:02;0;0;0;0;0;0;0;;
erusev_parsedown.result;1483;00:00:23;0;0;0;0;0;0;0;;
rashidlaasri_LaravelInstaller.result;2172;00:00:30;0;0;0;0;0;0;0;;
blueimp_jQuery-File-Upload.result;1279;00:01:03;0;0;0;0;0;0;0;;
etsy_411.result;9037;00:01:06;0;0;0;0;0;0;0;;
facade_ignition.result;4978;00:00:30;0;0;0;0;0;0;0;;
q2a_question2answer.result;39906;04:17:56;4;83;3;0;4;0;0;  (xss) sprintf:2,  (xss) echo_func:2,;
nextcloud_server.result;335043;00:06:21;0;0;0;0;0;0;0;;
dingo_api.result;7538;00:00:36;0;0;0;0;0;0;0;;
the-control-group_voyager.result;29160;00:00:38;0;0;0;0;0;0;0;;
Xethron_migrations-generator.result;806;00:00:35;0;0;0;0;0;0;0;;
hwi_HWIOAuthBundle.result;12164;00:00:47;0;0;0;0;0;0;0;;
lcobucci_jwt.result;4035;00:00:25;0;0;0;0;0;0;0;;
vlucas_valitron.result;4800;00:00:32;0;0;0;0;0;0;0;;
